MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,Place,OverallPlace,Points,Notes
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Evan Singleton,USA,Max Axle Press,Overhead Press,Axle,190,kg,4,3,36,3 reps at 190kg; tied 4th
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Matthew Ragg,NZL,Max Axle Press,Overhead Press,Axle,170,kg,8,4,35.5,1 rep at 170kg
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Tristain Hoath,CAN,Max Axle Press,Overhead Press,Axle,180,kg,7,5,33.5,2 reps at 180kg
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Wesley Derwinsky,CAN,Max Axle Press,Overhead Press,Axle,0,kg,9,6,31,No lift
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Austin Andrade,MEX,Max Axle Press,Overhead Press,Axle,190,kg,4,7,30.5,3 reps at 190kg; tied 4th
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Pavlo Kordiyaka,UKR,Max Axle Press,Overhead Press,Axle,200,kg,3,8,27,4 reps at 200kg
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Luke Stoltman,GBR,Max Axle Press,Overhead Press,Axle,190,kg,4,9,19.5,3 reps at 190kg; tied 4th
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Aivars Smaukstelis,LAT,Max Axle Press,Overhead Press,Axle,0,kg,9,10,12.5,No lift
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Tom Stoltman,GBR,Keg Toss,Toss,Keg,7.76,m,1,1,53,5 kegs; world record
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Mitchell Hooper,CAN,Keg Toss,Toss,Keg,7.76,m,1,2,47.5,5 kegs; world record; tied 1st
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Evan Singleton,USA,Keg Toss,Toss,Keg,7.5,m,4,3,36,4 kegs
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Matthew Ragg,NZL,Keg Toss,Toss,Keg,7,m,5,4,35.5,3 kegs; tied 5th
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Tristain Hoath,CAN,Keg Toss,Toss,Keg,6,m,9,5,33.5,1 keg
