MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,Place,OverallPlace,Points,Notes
2013 World's Strongest Man,WSM,2013,"Sanya, China",Open,M,,,Brian Shaw,USA,Overall,,,,,,1,,
2013 World's Strongest Man,WSM,2013,"Sanya, China",Open,M,,,Zydrunas Savickas,LTU,Overall,,,,,,2,,
2013 World's Strongest Man,WSM,2013,"Sanya, China",Open,M,,,Hafthor Julius Bjornsson,ISL,Overall,,,,,,3,,
2014 World's Strongest Man,WSM,2014,"Los Angeles, California",Open,M,,,Zydrunas Savickas,LTU,Overall,,,,,,1,,Won by 0.5 points; oldest champion at 38 years 8 months
2014 World's Strongest Man,WSM,2014,"Los Angeles, California",Open,M,,,Hafthor Julius Bjornsson,ISL,Overall,,,,,,2,,
2014 World's Strongest Man,WSM,2014,"Los Angeles, California",Open,M,,,Brian Shaw,USA,Overall,,,,,,3,,
2015 World's Strongest Man,WSM,2015,"Putrajaya, Malaysia",Open,M,,,Brian Shaw,USA,Overall,,,,,,1,,
2015 World's Strongest Man,WSM,2015,"Putrajaya, Malaysia",Open,M,,,Zydrunas Savickas,LTU,Overall,,,,,,2,,
2015 World's Strongest Man,WSM,2015,"Putrajaya, Malaysia",Open,M,,,Hafthor Julius Bjornsson,ISL,Overall,,,,,,3,,
2016 World's Strongest Man,WSM,2016,"Kasane, Botswana",Open,M,,,Brian Shaw,USA,Overall,,,,,,1,,
2016 World's Strongest Man,WSM,2016,"Kasane, Botswana",Open,M,,,Hafthor Julius Bjornsson,ISL,Overall,,,,,,2,,
2016 World's Strongest Man,WSM,2016,"Kasane, Botswana",Open,M,,,Eddie Hall,GBR,Overall,,,,,,3,,
2017 World's Strongest Man,WSM,2017,"Gaborone, Botswana",Open,M,,,Eddie Hall,GBR,Overall,,,,,,1,,First UK winner since Gary Taylor 1993
2017 World's Strongest Man,WSM,2017,"Gaborone, Botswana",Open,M,,,Hafthor Julius Bjornsson,ISL,Overall,,,,,,2,,Lost by 1 point
2017 World's Strongest Man,WSM,2017,"Gaborone, Botswana",Open,M,,,Brian Shaw,USA,Overall,,,,,,3,,
2018 World's Strongest Man,WSM,2018,"Manila, Philippines",Open,M,,,Hafthor Julius Bjornsson,ISL,Overall,,,,,,1,,
2018 World's Strongest Man,WSM,2018,"Manila, Philippines",Open,M,,,Mateusz Kieliszkowski,POL,Overall,,,,,,2,,
2018 World's Strongest Man,WSM,2018,"Manila, Philippines",Open,M,,,Brian Shaw,USA,Overall,,,,,,3,,
